| Degrees-of-freedom | Assembly (s) | Linear solve (s) |
| --- | --- | --- |
| 64 | 0.00158 | 0.00092 |
| 121 | 0.00126 | 0.00092 |
| 256 | 0.00150 | 0.00114 |
| 484 | 0.00184 | 0.00168 |
| 1024 | 0.00291 | 0.00276 |
| 2025 | 0.00485 | 0.00513 |
| 4096 | 0.00925 | 0.01165 |
| 8100 | 0.01690 | 0.02901 |
| 16384 | 0.08114 | 0.11275 |
| 32761 | 0.13334 | 0.37744 |
| 65536 | 0.19691 | 0.93566 |
| 131044 | 0.33498 | 2.33807 |
| 262144 | 0.63096 | 14.15575 |
| 524176 | 1.72614 | 35.69725 |
| 1048576 | 3.30537 | 91.37754 |
